MIC,OPERATING MIC,OPRT/SGMT,ISO COUNTRY CODE (ISO 3166),STATUS
21XX,21XX,OPRT,DE,ACTIVE
24DX,24EQ,SGMT,US,ACTIVE
24EQ,24EQ,OPRT,US,ACTIVE
24EX,24EX,OPRT,BM,ACTIVE
3579,3579,OPRT,GB,ACTIVE
360D,360X,SGMT,DE,ACTIVE
360M,360X,SGMT,DE,ACTIVE
360T,360T,OPRT,DE,ACTIVE
360X,360X,OPRT,DE,ACTIVE
3DXE,360T,SGMT,DE,ACTIVE
4AXE,4AXE,OPRT,ZA,ACTIVE
A2XX,A2XX,OPRT,ZA,ACTIVE
A5XB,A5XB,OPRT,BR,ACTIVE
AACA,AACA,OPRT,FR,ACTIVE
AAPA,AAPA,OPRT,GR,ACTIVE
AATS,AATS,OPRT,US,ACTIVE
ABAN,ABAN,OPRT,ES,ACTIVE
ABFI,ABFI,OPRT,GR,ACTIVE
ABNA,ABNA,OPRT,NL,ACTIVE
ABNC,ABNC,OPRT,NL,ACTIVE
ABSI,ABSI,OPRT,DK,ACTIVE
ABUL,XBUL,SGMT,BG,ACTIVE
ABXX,VMEX,SGMT,AE,ACTIVE
ACCX,ACCX,OPRT,GB,ACTIVE
ACEX,ACEX,OPRT,IN,ACTIVE
ACKF,KNIG,SGMT,US,ACTIVE
ACXC,ACXC,OPRT,AE,ACTIVE
ACXL,ACXL,OPRT,AE,ACTIVE
ADRK,XATS,SGMT,CA,ACTIVE
ADVT,ADVT,OPRT,US,ACTIVE
AFDL,AFDL,OPRT,GB,EXPIRED
AFET,AFET,OPRT,TH,ACTIVE
AFEX,AFEX,OPRT,MU,ACTIVE
AFSA,AFSA,OPRT,NL,ACTIVE
AFSE,AFSE,OPRT,NL,ACTIVE
AFSI,AFSA,SGMT,NL,ACTIVE
AFSL,AFSA,SGMT,NL,ACTIVE
AFSO,AFSA,SGMT,NL,ACTIVE
AFSX,AFSA,SGMT,NL,ACTIVE
AFTS,AFTS,OPRT,GB,ACTIVE
AGBP,AGBP,OPRT,ES,ACTIVE
AILT,AILT,OPRT,IE,ACTIVE
AIMX,XLON,SGMT,GB,ACTIVE
AIXE,AIXE,OPRT,CH,EXPIRED
AIXK,AIXK,OPRT,KZ,ACTIVE
AKIS,AKIS,OPRT,IT,ACTIVE
ALDP,XNYS,SGMT,US,EXPIRED
ALGO,ALGO,OPRT,GB,EXPIRED
ALLT,ALLT,OPRT,ES,ACTIVE
ALPX,ALPX,OPRT,US,ACTIVE
ALSI,ALSI,OPRT,DK,ACTIVE
ALTX,XJSE,SGMT,ZA,ACTIVE
ALXA,XAMS,SGMT,NL,EXPIRED
ALXB,XBRU,SGMT,BE,ACTIVE
ALXL,XLIS,SGMT,PT,ACTIVE
ALXP,XPAR,SGMT,FR,ACTIVE
AMLG,AMLG,OPRT,US,EXPIRED
AMNL,XAMM,SGMT,JO,ACTIVE
AMPX,AMPX,OPRT,GB,ACTIVE
AMTS,XMTS,SGMT,GB,EXPIRED
AMXO,XNYS,SGMT,US,ACTIVE
ANLP,ANZL,SGMT,GB,ACTIVE
ANTS,ANTS,OPRT,GB,ACTIVE
ANZL,ANZL,OPRT,GB,ACTIVE
APAW,APAW,OPRT,AT,ACTIVE
APCL,APEX,SGMT,SG,ACTIVE
APEX,APEX,OPRT,SG,ACTIVE
APXL,APXL,OPRT,AU,ACTIVE
AQEA,AQEU,SGMT,FR,ACTIVE
AQED,AQEU,SGMT,FR,ACTIVE
AQEU,AQEU,OPRT,FR,ACTIVE
AQSD,AQSE,SGMT,GB,ACTIVE
AQSE,AQSE,OPRT,GB,ACTIVE
AQSF,AQSE,SGMT,GB,ACTIVE
AQSG,AQSE,SGMT,GB,ACTIVE
AQSL,AQSE,SGMT,GB,ACTIVE
AQSN,AQSE,SGMT,GB,ACTIVE
AQST,AQSE,SGMT,GB,ACTIVE
AQUA,AQUA,OPRT,US,EXPIRED
AQXA,AQXE,SGMT,GB,ACTIVE
AQXD,AQXE,SGMT,GB,ACTIVE
AQXE,AQXE,OPRT,GB,ACTIVE
ARAX,ARAX,OPRT,GB,ACTIVE
ARCB,ARCE,SGMT,ES,ACTIVE
ARCD,XNYS,SGMT,US,ACTIVE
ARCE,ARCE,OPRT,ES,ACTIVE
ARCH,ARCH,OPRT,GB,ACTIVE
ARCO,XNYS,SGMT,US,ACTIVE
ARCX,XNYS,SGMT,US,ACTIVE
ARDA,ARCH,SGMT,GB,ACTIVE
AREX,AREX,OPRT,IE,ACTIVE
ARIA,ARIA,OPRT,GB,ACTIVE
ARKX,ARKX,OPRT,US,ACTIVE
ARTX,ARTX,OPRT,LI,ACTIVE
ASEF,ASEF,OPRT,US,ACTIVE
ASEX,ASEX,OPRT,GR,ACTIVE
ASMT,INCR,SGMT,US,ACTIVE
ASPI,INCR,SGMT,US,ACTIVE
ASPN,INCR,SGMT,US,ACTIVE
ASTR,CDSL,SGMT,IN,ACTIVE
ASXB,XASX,SGMT,AU,ACTIVE
ASXC,XASX,SGMT,AU,ACTIVE
ASXP,XASX,SGMT,AU,ACTIVE
